"Date","Android","Windows","iOS","OS X","Unknown","Linux","Chrome OS","Samsung","KaiOS","Playstation","Xbox","Nokia Unknown","Series 40","Tizen","Other"
2019-10,41.19,34.8,13.52,7.1,1.36,0.81,0.7,0.09,0.22,0.05,0.02,0.04,0.04,0.03,0.03
2019-11,40.45,34.95,13.67,7.55,1.3,0.84,0.7,0.1,0.25,0.05,0.02,0.04,0.03,0.03,0.03
2019-12,40.47,34.2,14.92,7.24,1.24,0.83,0.64,0.1,0.18,0.05,0.02,0.03,0.03,0.02,0.03
2020-01,39.67,35.23,14.5,7.71,0.93,0.88,0.69,0.11,0.11,0.05,0.02,0.03,0.03,0.02,0.02
2020-02,38.9,35.29,14.97,8.07,0.83,0.89,0.68,0.09,0.12,0.05,0.04,0.02,0.02,0.01,0.02
2020-03,38.61,34.96,15.63,8.3,0.76,0.78,0.56,0.08,0.17,0.05,0.07,0,0,0.01,0.01
2020-04,39.13,33.1,17.23,8.21,0.81,0.7,0.48,0.09,0.06,0.06,0.08,0.01,0.01,0.01,0.02
2020-05,37.81,35.83,15.28,8.54,0.91,0.79,0.49,0.11,0.1,0.06,0.03,0.01,0.01,0.01,0.01
2020-06,38.3,36.55,14.3,8.35,1.03,0.81,0.38,0.1,0.06,0.05,0.03,0.01,0.01,0.01,0.01
2020-07,39.06,36.05,14.22,7.91,1.3,0.87,0.31,0.11,0.05,0.05,0.03,0.01,0.01,0.01,0.01
2020-08,39.23,35.43,14.53,7.78,1.48,0.85,0.41,0.12,0.04,0.05,0.03,0.01,0.01,0.01,0.01
2020-09,38.42,36.37,14.08,8.28,1.04,0.83,0.72,0.11,0.04,0.04,0.02,0.01,0.01,0.01,0.01
2020-10,36.46,37.3,14.36,8.62,1.49,0.76,0.77,0.11,0.03,0.04,0.02,0.01,0.01,0.01,0.01
2020-11,38.83,32.37,16.57,7.31,2.95,0.81,0.85,0.13,0.07,0.04,0.02,0.01,0.01,0.01,0.01
2020-12,41.58,31.73,16.58,7.08,1.19,0.81,0.71,0.13,0.07,0.04,0.02,0.01,0.01,0.01,0.01
2021-01,41.28,31.6,16.89,7.01,1.31,0.8,0.79,0.16,0.05,0.05,0.03,0.01,0.01,0.01,0.01
2021-02,40.39,32.34,16.51,7.13,1.52,0.85,0.85,0.21,0.08,0.06,0.03,0.01,0.01,0.01,0.01
2021-03,40.15,32.43,16.45,7.07,1.75,0.86,0.9,0.21,0.08,0.05,0.03,0.01,0.01,0.01,0.01
2021-04,40.6,31.96,16.25,6.83,2.13,0.94,0.87,0.21,0.09,0.05,0.03,0.01,0.01,0.01,0.01
2021-05,41.42,30.86,16.1,6.65,2.57,1.01,0.95,0.22,0.1,0.05,0.04,0.01,0.01,0.01,0.01
2021-06,41.46,30.61,16.07,6.52,3.13,1.13,0.63,0.22,0.1,0.05,0.03,0.02,0.01,0.01,0.01
2021-07,41.56,30.2,16.55,6.38,3.36,0.99,0.5,0.24,0.11,0.05,0.03,0.01,0.01,0.01,0.01
2021-08,42.56,30.73,16.53,6.51,1.54,0.97,0.7,0.24,0.11,0.04,0.04,0.01,0.01,0.01,0.01
2021-09,40.66,32.3,15.97,6.82,1.68,1.01,1.11,0.22,0.09,0.06,0.04,0.01,0.01,0.01,0.01
2021-10,39.75,32.44,16.7,6.85,1.9,0.93,1.1,0.21,0.06,0.03,0,0.01,0.01,0,0.01
