"Date","Google","bing","Yahoo!","Baidu","YANDEX","DuckDuckGo","YANDEX RU","Sogou","Naver","Ecosia","Shenma","Haosou","Seznam","CocCoc","MSN","Qwant","Mail.ru","Daum","Other"
2019-10,92.78,2.55,1.61,0.9,0.35,0.4,0.5,0.34,0.08,0.13,0.11,0.04,0.02,0.02,0.06,0.02,0.03,0.01,0.04
2019-11,92.95,2.31,1.6,0.85,0.54,0.41,0.55,0.25,0.1,0.13,0.1,0.04,0.02,0.02,0.03,0.02,0.03,0.01,0.04
2019-12,92.71,2.32,1.59,1.06,0.5,0.43,0.56,0.29,0.11,0.13,0.11,0.03,0.02,0.02,0.02,0.02,0.03,0.01,0.04
2020-01,92.51,2.45,1.64,1.1,0.38,0.44,0.54,0.44,0.08,0.14,0.08,0.03,0.03,0.02,0.02,0.02,0.03,0.01,0.04
2020-02,92.07,2.44,1.62,1.49,0.4,0.42,0.54,0.43,0.13,0.13,0.1,0.06,0.03,0.02,0.02,0.02,0.03,0.01,0.05
2020-03,91.98,2.55,1.66,1.44,0.45,0.41,0.52,0.29,0.22,0.14,0.09,0.07,0.03,0.02,0.02,0.02,0.03,0.01,0.04
2020-04,91.89,2.79,1.87,1.1,0.44,0.45,0.54,0.29,0.12,0.15,0.05,0.14,0.03,0.02,0.02,0.02,0.03,0.01,0.04
2020-05,92.06,2.61,1.79,1.16,0.56,0.47,0.52,0.28,0.14,0.14,0.04,0.06,0.04,0.02,0.03,0.02,0.02,0.01,0.04
2020-06,91.75,2.75,1.7,1.02,0.92,0.49,0.47,0.33,0.15,0.12,0.04,0.05,0.05,0.02,0.05,0.02,0.02,0.01,0.04
2020-07,92.17,2.78,1.6,0.92,0.85,0.5,0.44,0.22,0.1,0.11,0.04,0.05,0.04,0.02,0.06,0.02,0.02,0.01,0.04
2020-08,92.05,2.83,1.65,0.98,0.76,0.53,0.42,0.23,0.16,0.11,0.03,0.05,0.04,0.03,0.04,0.02,0.01,0.02,0.04
2020-09,92.27,2.83,1.58,1.14,0.5,0.5,0.43,0.2,0.17,0.11,0.03,0.05,0.03,0.02,0.03,0.02,0.02,0.03,0.03
2020-10,92.71,2.73,1.47,1.08,0.41,0.49,0.44,0.16,0.13,0.12,0.04,0.04,0.03,0.02,0.04,0.03,0.02,0.02,0.03
2020-11,92.16,2.88,1.52,1.14,0.51,0.61,0.43,0.21,0.13,0.14,0.04,0.04,0.03,0.02,0.04,0.03,0.02,0.02,0.03
2020-12,91.38,2.69,1.46,1.36,1,0.6,0.46,0.49,0.18,0.13,0.04,0.04,0.02,0.02,0.03,0.03,0.01,0.03,0.03
2021-01,91.86,2.71,1.46,1.13,0.87,0.66,0.44,0.35,0.15,0.13,0.03,0.04,0.03,0.02,0.03,0.03,0.01,0.02,0.03
2021-02,92.05,2.69,1.47,1.33,0.65,0.64,0.46,0.23,0.11,0.13,0.03,0.04,0.03,0.02,0.02,0.03,0.01,0.02,0.03
2021-03,92.4,2.45,1.48,1.31,0.55,0.59,0.47,0.26,0.12,0.13,0.03,0.04,0.03,0.02,0.02,0.03,0.01,0.02,0.03
2021-04,92.26,2.29,1.52,1.47,0.57,0.58,0.45,0.41,0.11,0.13,0.02,0.04,0.03,0.02,0.02,0.03,0.01,0.02,0.03
2021-05,92.2,2.27,1.5,1.45,0.68,0.59,0.44,0.39,0.12,0.13,0.03,0.03,0.04,0.03,0.02,0.03,0.01,0.01,0.03
2021-06,92.47,2.31,1.53,1.29,0.8,0.6,0.35,0.18,0.11,0.12,0.02,0.02,0.04,0.06,0.01,0.03,0.01,0.01,0.04
2021-07,91.84,2.33,1.47,1.5,1.38,0.6,0,0.38,0.14,0.11,0.02,0.02,0.05,0.04,0,0.02,0.01,0.02,0.06
2021-08,92.03,2.48,1.5,1.4,1.2,0.63,0,0.25,0.12,0.11,0.02,0.03,0.05,0.05,0,0.03,0.01,0.02,0.08
2021-09,92.04,2.66,1.48,1.64,0.9,0.61,0,0.15,0.1,0.12,0.03,0.05,0.03,0.05,0,0.03,0.01,0.01,0.08
2021-10,91.66,2.74,1.5,1.91,0.96,0.6,0,0.12,0.1,0.12,0.03,0.06,0.02,0.05,0,0.03,0.02,0.01,0.08
